07ÔÂ18_18:12:43	
x,y,
2094,1923,
2119,1776,
2053,1797,
2087,1790,
2110,1773,
2124,1780,
2132,1802,
2142,1815,
2149,1834,
2158,1840,
2142,1867,
2124,1899,
2106,1923,
2086,1919,
2072,1903,
2068,1880,
2064,1845,
2068,1821,
2083,1793,
2106,1774,
2121,1774,
2130,1801,
2137,1819,
2148,1833,
2160,1837,
2149,1860,
2125,1898,
2105,1918,
2090,1925,
2079,1906,
2068,1884,
2064,1854,
2067,1820,
2083,1793,
2104,1776,
2117,1776,
2131,1796,
2144,1813,
2149,1830,
2158,1838,
2147,1851,
2128,1891,
2112,1916,
2092,1926,
2077,1913,
2070,1889,
2065,1855,
2066,1826,
2074,1801,
2100,1778,
2118,1768,
2131,1792,
2139,1811,
2146,1823,
2154,1836,
2156,1847,
2131,1888,
2112,1918,
2095,1929,
2082,1913,
2068,1895,
2064,1867,
2067,1829,
2074,1804,
2099,1779,
2115,1769,
2125,1789,
2136,1810,
2148,1823,
2153,1839,
2157,1849,
2134,1878,
2113,1912,
2095,1929,
2081,1923,
2073,1898,
2065,1869,
2065,1834,
2070,1808,
2094,1782,
2112,1771,
2130,1781,
2138,1807,
2145,1826,
2156,1837,
2158,1840,
2137,1876,
2116,1913,
2100,1927,
2085,1920,
2075,1901,
2063,1874,
2065,1840,
2069,1808,
2094,1785,
2112,1774,
2123,1782,
2136,1806,
2142,1820,
2150,1833,
2157,1842,
2140,1870,
2123,1907,
2101,1923,
2084,1924,
2072,1904,
2065,1876,
2068,1844,
2072,1815,
2087,1793,
2108,1772,
2123,1776,
2135,1799,
2140,1823,
2150,1834,
2161,1840,
2147,1859,
2122,1897,
2103,1918,
2087,1922,
2076,1908,
2065,1884,
2062,1854,
2067,1818,
2083,1792,
2105,1773,
2121,1779,
2131,1798,
2139,1818,
2148,1829,
2163,1842,
2149,1855,
2122,1893,
2109,1919,
2096,1926,
2077,1914,
2067,1887,
2062,1854,
2068,1821,
2081,1800,
2104,1778,
2122,1775,
2132,1793,
2143,1815,
2146,1828,
2156,1836,
2153,1851,
2133,1888,
2109,1920,
2093,1925,
2078,1911,
2068,1890,
2065,1861,
2067,1831,
2078,1802,
2103,1778,
2120,1773,
2127,1791,
2137,1809,
2148,1827,
2157,1836,
2154,1853,
2131,1881,
2111,1913,
2094,1923,
2084,1916,
2072,1898,
2067,1867,
2064,1833,
2076,1807,
2096,1783,
2117,1769,
2125,1789,
2140,1810,
2145,1826,
2154,1835,
2156,1845,
2135,1875,
2114,1909,
2096,1930,
2085,1925,
2075,1900,
2066,1870,
2064,1840,
2070,1810,
2092,1782,
2115,1770,
2123,1785,
2134,1807,
2145,1821,
2155,1832,
2160,1841,
2140,1874,
2122,1908,
2101,1923,
2086,1919,
2075,1904,
2066,1874,
2065,1845,
2073,1813,
2089,1790,
2112,1769,
2123,1779,
2132,1799,
2142,1817,
2153,1837,
2158,1842,
2146,1865,
2123,1899,
2102,1928,
2085,1925,
2078,1905,
2066,1878,
2064,1851,
2070,1817,
2082,1793,
2107,1770,
2123,1777,
2133,1801,
2144,1817,
2152,1831,
2160,1836,
2150,1862,
2122,1900,
2104,1924,
2092,1923,
2083,1912,
2069,1883,
2063,1850,
2067,1820,
2081,1793,
2105,1777,
2121,1775,
2130,1796,
2140,1810,
2148,1832,
2155,1839,
2147,1856,
2131,1889,
2110,1919,
2094,1924,
2078,1913,
2071,1890,
2068,1856,
2067,1829,
2075,1800,
2104,1775,
2119,1770,
2127,1794,
2139,1809,
2146,1829,
2156,1834,
2160,1852,
2133,1883,
2109,1912,
2093,1924,
2083,1917,
2068,1894,
2064,1865,
2065,1826,
2075,1800,
2097,1780,
2114,1773,
2127,1789,
2138,1808,
2146,1826,
2156,1835,
2154,1844,
2132,1877,
2118,1911,
2100,1928,
2082,1920,
2073,1897,
2064,1867,
2065,1836,
2069,1810,
2094,1784,
2113,1768,
2128,1785,
2137,1808,
2141,1823,
2149,1833,
2161,1842,
2138,1875,
2116,1907,
2099,1925,
2085,1922,
2073,1900,
2065,1875,
2066,1841,
2069,1814,
2091,1785,
2114,1772,
2125,1780,
2133,1803,
2146,1818,
2154,1839,
2160,1844,
2145,1869,
2120,1903,
2099,1924,
2089,1923,
2073,1908,
2067,1878,
2067,1844,
2067,1814,
2085,1788,
2109,1771,
2124,1775,
2133,1803,
2142,1819,
2147,1832,
2158,1837,
2144,1864,
2119,1902,
2104,1924,
2088,1924,
2076,1906,
2068,1881,
2064,1849,
2067,1820,
2085,1790,
2108,1773,
2120,1778,
2132,1794,
2142,1813,
2150,1831,
2156,1841,
2148,1858,
2124,1891,
2107,1916,
2092,1925,
2075,1910,
2063,1886,
2065,1854,
2068,1824,
2077,1798,
2105,1772,
2118,1771,
2129,1794,
2139,1814,
2146,1832,
2158,1836,
2154,1852,
2130,1890,
2110,1914,
2092,1923,
2082,1913,
2071,1891,
2063,1863,
2066,1827,
2075,1801,
2101,1774,
2118,1774,
2128,1793,
2139,1807,
2150,1826,
2157,1836,
2157,1850,
2131,1880,
2114,1915,
2098,1927,
2082,1917,
2070,1893,
2065,1863,
2065,1833,
2074,1806,
2097,1784,
2116,1773,
2125,1788,
2134,1805,
2142,1824,
2155,1832,
2160,1845,
2138,1875,
2114,1912,
2099,1927,
2084,1917,
2073,1899,
2063,1872,
2065,1841,
2075,1812,
2093,1781,
2114,1771,
2123,1783,
2134,1801,
2145,1819,
2154,1835,
2160,1844,
2140,1868,
2118,1904,
2099,1921,
2088,1925,
2076,1904,
2068,1876,
2067,1841,
2072,1813,
2087,1788,
2111,1767,
2126,1783,
2138,1802,
2145,1822,
2152,1833,
2160,1841,
2144,1863,
2122,1903,
2105,1930,
2090,1923,
2078,1908,
2066,1878,
2069,1850,
2071,1814,
2085,1794,
2113,1771,
2123,1779,
2133,1800,
2141,1817,
2150,1828,
2162,1837,
2148,1865,
2126,1899,
2105,1920,
2091,1922,
2078,1915,
2069,1881,
2063,1855,
2070,1820,
2082,1797,
2106,1776,
2122,1773,
2135,1794,
2142,1813,
2147,1833,
2162,1838,
2152,1854,
2128,1890,
2108,1922,
2094,1920,
2079,1916,
2072,1890,
2066,1860,
2068,1826,
2079,1801,
2103,1777,
2122,1771,
2131,1794,
2142,1814,
2150,1832,
2161,1836,
2156,1856,
2131,1888,
2112,1921,
2099,1926,
2082,1920,
2072,1896,
2068,1863,
2068,1829,
2078,1804,
2098,1780,
2120,1776,
2131,1791,
2140,1808,
2147,1827,
2155,1837,
2158,1851,
2137,1879,
2120,1912,
2101,1928,
2084,1918,
2073,1899,
2069,1867,
2065,1839,
2074,1808,
2094,1783,
2117,1767,
2126,1786,
2137,1807,
2142,1827,
2155,1835,
2162,1844,
2139,1874,
2119,1908,
2099,1926,
2088,1920,
2076,1905,
2067,1874,
2068,1841,
2070,1808,
2089,1791,
2111,1774,
2125,1786,
2140,1805,
2148,1825,
2151,1835,
2162,1843,
2141,1868,
2126,1904,
2103,1927,
2088,1924,
2075,1904,
2070,1877,
2064,1849,
2068,1816,
2087,1793,
2113,1773,
2125,1780,
2135,1803,
2145,1816,
2152,1831,
2161,1838,
2150,1867,
2125,1904,
2105,1927,
2093,1922,
2077,1910,
2066,1886,
2067,1853,
2070,1823,
2084,1793,
2107,1775,
2124,1775,
2132,1800,
2147,1814,
2151,1833,
2160,1840,
2155,1860,
2128,1892,
2106,1923,
2089,1928,
2080,1913,
2067,1887,
2068,1855,
2066,1823,
2081,1796,
2103,1777,
2123,1777,
2131,1798,
2142,1815,
2147,1828,
2155,1838,
2151,1853,
2127,1895,
2111,1919,
2095,1928,
2083,1914,
2070,1893,
2064,1859,
2067,1831,
2079,1799,
2099,1780,
2121,1772,
2129,1790,
2138,1808,
2145,1830,
2153,1839,
2158,1852,
2133,1880,
2114,1914,
2098,1929,
2081,1915,
2069,1894,
2068,1865,
2066,1834,
2074,1808,
2095,1779,
2114,1767,
2125,1787,
2134,1809,
2145,1828,
2157,1840,
2159,1844,
2139,1880,
2115,1912,
2100,1924,
2085,1917,
2074,1901,
2064,1874,
2066,1837,
2068,1806,
2092,1784,
2113,1771,
2124,1785,
2139,1807,
2144,1822,
2153,1837,
2155,1843,
2137,1872,
2122,1906,
2102,1924,
2085,1923,
2074,1902,
2065,1873,
2066,1842,
2070,1817,
2087,1791,
2115,1772,
2128,1782,
2136,1805,
2138,1822,
2147,1832,
2159,1840,
2143,1866,
2121,1904,
2102,1923,
2088,1920,
2077,1905,
2068,1880,
2066,1849,
2070,1821,
2084,1791,
2108,1774,
2121,1778,
2132,1799,
2144,1818,
2153,1829,
2156,1840,
2145,1858,
2125,1894,
2104,1920,
2091,1926,
2078,1914,
2068,1887,
2066,1851,
2069,1822,
2081,1796,
2103,1775,
2120,1776,
2135,1797,
2139,1814,
2148,1829,
2157,1840,
2153,1854,
2128,1892,
2110,1922,
2096,1927,
2081,1911,
2070,1888,
2063,1858,
2068,1823,
2079,1803,
2104,1775,
2119,1775,
2128,1790,
2136,1810,
2148,1827,
2158,1838,
2155,1854,
2134,1888,
2114,1916,
2095,1923,
2080,1918,
2071,1892,
2065,1865,
2067,1830,
2076,1806,
2097,1778,
2117,1770,
2125,1787,
2139,1808,
2146,1829,
2159,1837,
2157,1844,
2136,1876,
2114,1916,
2096,1925,
2083,1920,
2073,1895,
2065,1871,
2065,1834,
2070,1808,
2097,1781,
2114,1771,
2128,1789,
2141,1807,
2143,1824,
2156,1835,
2160,1847,
2137,1872,
2119,1910,
2102,1922,
2088,1921,
2074,1901,
2062,1873,
2066,1840,
2072,1811,
2091,1791,
2114,1770,
2123,1781,
2134,1800,
2142,1825,
2149,1836,
2159,1844,
2144,1869,
2121,1908,
2100,1921,
2083,1922,
2076,1904,
2068,1878,
2062,1845,
2071,1815,
2085,1789,
2112,1769,
2121,1781,
2131,1798,
2141,1821,
2153,1832,
2163,1843,
2147,1863,
2120,1903,
2100,1920,
2095,1924,
2075,1913,
2069,1883,
2063,1850,
2070,1816,
2078,1796,
2107,1774,
2122,1778,
2134,1795,
2146,1817,
2150,1830,
2156,1837,
2150,1855,
2129,1892,
2107,1925,
2091,1926,
2081,1913,
2072,1886,
2066,1856,
2068,1821,
2080,1801,
2105,1774,
2122,1775,
2131,1793,
2138,1814,
2145,1828,
2161,1837,
2153,1854,
2130,1892,
2112,1915,
2095,1922,
2081,1917,
2067,1895,
2066,1862,
2071,1827,
2079,1802,
2100,1777,
2121,1770,
2127,1791,
2140,1808,
2146,1830,
2156,1837,
2155,1848,
2133,1881,
2111,1918,
2093,1930,
2084,1920,
2072,1892,
2067,1867,
2066,1832,
2073,1803,
2097,1781,
2119,1768,
2125,1790,
2135,1810,
2148,1827,
2151,1832,
2157,1846,
2133,1881,
2118,1912,
2097,1923,
2089,1918,
2073,1900,
2066,1868,
2064,1838,
2076,1808,
2092,1789,
2115,1773,
2124,1786,
2135,1803,
2142,1826,
2152,1838,
2158,1845,
2138,1870,
2119,1904,
2099,1925,
2084,1922,
2072,1901,
2068,1874,
2064,1845,
2070,1814,
2091,1790,
2109,1768,
2122,1782,
2132,1805,
2143,1822,
2153,1835,
2160,1840,
2146,1865,
2121,1900,
2098,1921,
2090,1922,
2078,1906,
2066,1882,
2064,1848,
2070,1815,
2084,1793,
2107,1775,
2123,1779,
2131,1797,
2142,1819,
2148,1834,
2159,1839,
2146,1857,
2127,1896,
2106,1922,
2091,1927,
2081,1912,
2067,1884,
2065,1854,
2068,1824,
2084,1796,
2108,1778,
2119,1777,
2130,1796,
2138,1814,
2145,1829,
2160,1837,
2152,1856,
2126,1893,
2105,1915,
2091,1924,
2078,1914,
2067,1890,
2065,1859,
2070,1827,
2079,1798,
2102,1776,
2118,1771,
2125,1792,
2140,1809,
2148,1828,
2155,1838,
2152,1848,
2128,1883,
2111,1916,
2094,1930,
2082,1919,
2073,1896,
2065,1866,
2069,1831,
2075,1804,
2094,1778,
2118,1772,
2131,1792,
2136,1813,
2144,1825,
2152,1836,
2158,1842,
2136,1879,
2115,1916,
2099,1923,
2082,1916,
2074,1898,
2063,1870,
2062,1834,
2075,1808,
2097,1781,
2113,1771,
2125,1785,
2134,1806,
2143,1824,
2156,1834,
2157,1847,
2138,1875,
2119,1907,
2103,1929,
2084,1922,
2077,1899,
2067,1872,
2068,1840,
2068,1812,
2089,1786,
2113,1769,
2123,1781,
2134,1804,
2142,1823,
2154,1835,
2156,1840,
2143,1868,
2118,1907,
2098,1925,
2088,1922,
2078,1903,
2063,1879,
2063,1845,
2068,1812,
2088,1788,
2110,1770,
2122,1782,
2134,1799,
2143,1820,
2152,1831,
2158,1840,
2143,1856,
2124,1902,
2107,1923,
2089,1924,
2078,1908,
2067,1881,
2066,1849,
2070,1817,
2083,1796,
2109,1775,
2120,1776,
2134,1795,
2142,1818,
2150,1829,
2157,1839,
2152,1854,
2126,1897,
2108,1919,
2089,1924,
2078,1909,
2068,1886,
2064,1858,
2069,1824,
2078,1796,
2107,1774,
2122,1777,
2130,1793,
2141,1815,
2150,1830,
2156,1842,
2153,1851,
2125,1890,
2109,1915,
2095,1924,
2082,1916,
2070,1890,
2062,1860,
2068,1826,
2074,1802,
2101,1777,
2115,1774,
2131,1790,
2140,1812,
2146,1828,
2151,1834,
2156,1849,
2136,1880,
2111,1916,
2097,1928,
2082,1914,
2071,1888,
2062,1870,
2064,1832,
2072,1805,
2094,1781,
2115,1771,
2127,1787,
2134,1806,
2143,1824,
2156,1831,
2157,1851,
2136,1878,
2116,1913,
2096,1922,
2082,1919,
2073,1901,
2064,1869,
2068,1835,
2075,1809,
2092,1784,
2111,1768,
2122,1782,
2138,1801,
2143,1827,
2152,1838,
2158,1845,
2141,1868,
2116,1908,
2100,1926,
2086,1924,
2077,1904,
2068,1875,
2064,1840,
2068,1812,
2089,1789,
2114,1768,
2124,1782,
2134,1804,
2144,1821,
2155,1830,
2159,1840,
2143,1871,
2120,1903,
2106,1922,
2090,1922,
2076,1904,
2066,1877,
2062,1846,
2072,1813,
2087,1791,
2109,1770,
2123,1781,
2133,1797,
2138,1820,
2148,1834,
2159,1841,
2148,1857,
2125,1898,
2107,1921,
2092,1923,
2075,1907,
2071,1883,
2063,1856,
2067,1823,
2083,1799,
2106,1773,
2118,1778,
2129,1797,
2140,1816,
2150,1832,
2160,1837,
2150,1855,
2127,1888,
2105,1918,
2093,1923,
2079,1916,
2068,1888,
2064,1858,
2067,1824,
2077,1801,
2100,1779,
2119,1774,
2131,1795,
2140,1811,
2145,1829,
2154,1836,
2151,1848,
2133,1883,
2112,1918,
2093,1928,
2079,1919,
2072,1891,
2063,1862,
2066,1833,
2075,1805,
2097,1775,
2116,1772,
2127,1790,
2136,1807,
2146,1828,
2157,1832,
2155,1848,
2131,1879,
2116,1912,
2096,1920,
2080,1919,
2069,1900,
2066,1869,
2065,1836,
2073,1805,
2095,1780,
2112,1769,
2122,1785,
2139,1805,
2145,1826,
2153,1836,
2160,1843,
2138,1870,
2118,1908,
2097,1926,
